Ano, Bloco, Componente, Acao/Servico/Estrategia, Competencia/Parcela, No OB,Data_OB,Valor Total
2009,ASSISTENCIA FARMACEUTICA,MEDICAMENTOS DE DISPENSACAO EXCEPCIONAL - CMDE,INCENTIVO FINANCEIRO AOS MEDICAMENTOS DE DISPENSACAO EXCEPCIONAL,dez-08,800240,12/1/09,"301.440,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TERMO DE COOPERACAO ENTRE ENTES PUBLICOS,dez-08,800252,12/1/09,"23.542.168,01"
2009,ASSISTENCIA FARMACEUTICA,MEDICAMENTOS DE DISPENSACAO EXCEPCIONAL - CMDE,PROGRAMA DE AQUISICAO DE MEDICAMENTOS EXCEPCIONAIS,dez-08,800212,12/1/09,"2.666.684,52"
2009,GESTAO DO SUS,QUALIFICACAO DA GESTAO DO SUS,EDUCACAO PERMANENTE EM SAUDE,8-Nov,801339,14/01/2009,"1.263.503,18"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - NEFROLOGIA,8-Nov,800602,14/01/2009,"6.314.083,26"
2009,GESTAO DO SUS,QUALIFICACAO DA GESTAO DO SUS,EDUCACAO PROFISSIONAL DE NIVEL TECNICO,8-Nov,801340,14/01/2009,"1.805.004,55"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO P/HOSP DE REF P/SUBSISTEMA DE VIG. EP EM AMBITO HOSPITALAR,dez-08,801275,14/01/2009,"19.000,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - NEFROLOGIA,out-08,800661,14/01/2009,"144.835,72"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,TETO FINANCEIRO DE VIGILANCIA EM SAUDE - TFVS (ADICIONAL),dez-08,801451,15/01/2009,600
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,out-08,801510,15/01/2009,"3.079,11"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,8-Nov,801585,16/01/2009,"457.990,43"
2009,VIGILANCIA EM SAUDE,VIGILANCIA SANITARIA,REDE NACIONAL DE LABORATORIOS DE VIGILANCIA SANITARIA - FINLACEN-VISA,dez-08,801934,19/01/2009,"90.000,00"
2009,VIGILANCIA EM SAUDE,VIGILANCIA SANITARIA,PISO ESTRATEGICO - GERENCIAMENTO DE RISCO DE VS - PRODUTOS/SERVICOS,dez-08,801847,19/01/2009,"28.029,90"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,ago-08,801603,19/01/2009,"3.079,11"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,set-08,801628,19/01/2009,"3.079,11"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,dez-08,801898,19/01/2009,"877.674,70"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO NO AMBITO DO PROGRAMA NACIONAL DE HIV AIDS E OUTRAS DST,dez-08,801760,19/01/2009,"113.249,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,dez-08,801897,19/01/2009,"3.266.522,92"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO PARA ESTABELECIMENTOS DE PARCERIAS COM AS OSC,8-Nov,801702,19/01/2009,"30.583,33"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,REDE NACIONAL DE SERVICOS DE VERIFICACAO DE OBTO E ESCL. CAUSA MORTIS,dez-08,801727,19/01/2009,"35.000,00"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO P/O FORT. DOS LABORATORIOS CENTRAIS DE SAUDE PUBLICA - LACEN,dez-08,801675,19/01/2009,"480.000,00"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO P/O FORT. DOS LABORATORIOS CENTRAIS DE SAUDE PUBLICA - LACEN,8-Nov,802149,20/01/2009,"480.000,00"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO P/O FORT. DOS LABORATORIOS CENTRAIS DE SAUDE PUBLICA - LACEN,ago-08,802068,20/01/2009,"480.000,00"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO P/O FORT. DOS LABORATORIOS CENTRAIS DE SAUDE PUBLICA - LACEN,8-Jul,802038,20/01/2009,"480.000,00"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO P/O FORT. DOS LABORATORIOS CENTRAIS DE SAUDE PUBLICA - LACEN,set-08,802095,20/01/2009,"480.000,00"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO P/O FORT. DOS LABORATORIOS CENTRAIS DE SAUDE PUBLICA - LACEN,out-08,802122,20/01/2009,"480.000,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - DIAGNOSTICO EM LABORATORIO CLINICO,out-08,802368,22/01/2009,"199.862,20"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC AIH - DEFORMIDADE LABIO-PALATAL E CRANIO-FACIAL,out-08,802367,22/01/2009,"43.997,32"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - COLETA DE MATERIAL,out-08,802365,22/01/2009,"1.439,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - DIAGNOSTICO EM OTORRINOLARINGOLOGIA/FONOAUDIOLOGIA,out-08,802369,22/01/2009,"348.521,51"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - CIRURGIA DO APARELHO CIRCULATORIO,out-08,802361,22/01/2009,"130.000,73"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - TRATAMENTO DE DOENCAS DO SISTEMA NERVOSO CENTRAL E PERIFERICO,out-08,802378,22/01/2009,"5.950,72"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - TRATAMENTO EM ONCOLOGIA,out-08,802381,22/01/2009,"270.345,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - CIRURGIA DO APARELHO GENITURINARIO,out-08,802362,22/01/2009,"1.244,10"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - REGULADORES DE ATIVIDADE HORMONAL - INIBIDORES DE PROLACTINA,out-08,802376,22/01/2009,"666,68"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - DIAGNOSTICO EM PSICOLOGIA/PSIQUIATRIA,out-08,802370,22/01/2009,"68,5"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - TRANSPLANTES DE ORGAOS, TECIDOS E CELULAS",out-08,802377,22/01/2009,"1.739.435,57"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - COLETA/EXAME ANATOMO-PATOLOGICO COLO UTERINO,out-08,802366,22/01/2009,"177.036,32"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - OUTRAS CIRURGIAS PLASTICAS/REPARADORAS,out-08,802375,22/01/2009,"7.217,62"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - ATEND/ACOMP. DIAG. DOENCAS ENDOCR./METABOLICAS E NUTRICIONAIS,out-08,802356,22/01/2009,850
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - ATENDIMENTO/ACOMPANHAMENTO DE QUEIMADOS,out-08,802358,22/01/2009,675
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC SIA - OPM PARA TRANSPLANTES,out-08,802374,22/01/2009,296
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - TRATAMENTOS ODONTOLOGICOS,out-08,802382,22/01/2009,"5.962,11"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - ATEND./ACOMP. REAB. FISICA, MENTAL, VISUAL E MULT. DEFICIENCIAS",out-08,802357,22/01/2009,"59.784,35"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - INCENTIVOS AO PRE-NATAL E NASCIMENTO,out-08,802372,22/01/2009,"41.800,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - CIRURGIA DO SISTEMA NERVOSO CENTRAL E PERIFERICO,out-08,802363,22/01/2009,"195.843,72"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - ATENDIMENTO/ACOMPANHAMENTO PSICOSSOCIAL,out-08,802359,22/01/2009,"140.295,80"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - CIRURGIA APARELHO DIGESTIVO, ORGAOS ANEXOS E PAREDE ABDOMINAL",out-08,802360,22/01/2009,"75.278,99"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - TRATAMENTO DE QUEIMADOS,out-08,802380,22/01/2009,"281.534,87"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - INCENTIVO AO REGISTRO CIVIL DE NASCIMENTO,out-08,802371,22/01/2009,835
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - OPM EM ODONTOLOGIA,out-08,802373,22/01/2009,"21.010,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - CIRURGIA OROFACIAL,out-08,802364,22/01/2009,"486,61"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - TRATAMENTO EM ONCOLOGIA,8-Nov,802711,23/01/2009,"309.474,50"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - TRANSPLANTES DE ORGAOS, TECIDOS E CELULAS",8-Nov,802709,23/01/2009,"1.911.102,23"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC SIA - OPM PARA TRANSPLANTES,8-Nov,802707,23/01/2009,296
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - DIAGNOSTICO EM LABORATORIO CLINICO,8-Nov,802704,23/01/2009,"44.310,92"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - ATEND./ACOMP. REAB. FISICA, MENTAL, VISUAL E MULT. DEFICIENCIAS",8-Nov,802698,23/01/2009,"42.188,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - OPM EM ODONTOLOGIA,8-Nov,802706,23/01/2009,"2.982,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - DIAGNOSTICO EM OTORRINOLARINGOLOGIA/FONOAUDIOLOGIA,8-Nov,802705,23/01/2009,"27.794,13"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - POLITICA NACIONAL DE CIRURGIAS ELETIVAS,8-Nov,802708,23/01/2009,"240.675,18"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - CIRURGIA APARELHO DIGESTIVO, ORGAOS ANEXOS E PAREDE ABDOMINAL",8-Nov,802700,23/01/2009,"89.400,03"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,CAMPANHA DE VACINACAO ANTI-RABICA,dez-08,802806,23/01/2009,"19.502,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - COLETA/EXAME ANATOMO-PATOLOGICO COLO UTERINO,8-Nov,802703,23/01/2009,"1.245,16"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - TRATAMENTOS ODONTOLOGICOS,8-Nov,802712,23/01/2009,"1.875,72"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - ATENDIMENTO/ACOMPANHAMENTO DE QUEIMADOS,8-Nov,802699,23/01/2009,400
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - TRATAMENTO DE QUEIMADOS,8-Nov,802710,23/01/2009,"1.000,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - CIRURGIA DO APARELHO CIRCULATORIO,8-Nov,802701,23/01/2009,"113.526,04"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - CIRURGIA OROFACIAL,8-Nov,802702,23/01/2009,120
2009,VIGILANCIA EM SAUDE,VIGILANCIA SANITARIA,PISO ESTRATEGICO - GERENCIAMENTO DE RISCO DE VS,dez-08,803033,27/01/2009,"147.237,88"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO PARA ESTABELECIMENTOS DE PARCERIAS COM AS OSC,dez-08,802987,27/01/2009,"30.583,33"
2009,GESTAO DO SUS,QUALIFICACAO DA GESTAO DO SUS,INCENT. DESTINADO AO APOIO DA ORG/FUNC DOS COLEGIADOS DE GES REGIONAL,dez-08,803580,30/01/2009,"220.000,00"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,TETO FINANCEIRO DE VIGILANCIA EM SAUDE - TFVS (EX-TFECD),dez-08,803370,30/01/2009,"713.029,96"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TERMO DE COOPERACAO ENTRE ENTES PUBLICOS,9-Jan,803725,3/2/09,"23.542.168,01"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,9-Jan,803856,3/2/09,"37.792.735,46"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,dez-08,803996,4/2/09,"1.973.715,58"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - NEFROLOGIA,ago-08,803978,4/2/09,"216.084,99"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,HIV/AIDS - FORMULA INFANTIL  ADCIONAL,dez-08,804055,4/2/09,"10.542,59"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,dez-08,804303,10/2/09,"138.914,70"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO PARA ESTABELECIMENTOS DE PARCERIAS COM AS OSC,9-Jan,804487,13/02/2009,"30.583,33"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC SIA - OPM PARA TRANSPLANTES,dez-08,804950,18/02/2009,888
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - NEFROLOGIA,dez-08,804849,18/02/2009,"6.604.031,74"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - TRATAMENTOS ODONTOLOGICOS,dez-08,804954,18/02/2009,"156,31"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - COLETA/EXAME ANATOMO-PATOLOGICO COLO UTERINO,dez-08,804946,18/02/2009,"7,77"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - POLITICA NACIONAL DE CIRURGIAS ELETIVAS,dez-08,804951,18/02/2009,"190.598,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - DIAGNOSTICO EM LABORATORIO CLINICO,dez-08,804947,18/02/2009,"14.451,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - ATENDIMENTO/ACOMPANHAMENTO DE QUEIMADOS,dez-08,804945,18/02/2009,925
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - TRATAMENTO EM ONCOLOGIA,dez-08,804953,18/02/2009,"340.538,00"
